column_num,sentence,index,overall
0,Would be super sexy if you are only about 4 ft tall.,0,1
0,"I'm 5'5"" and this barely stretched to the underside of my boobs.",0,1
0,Don't waste your $,0,1
1,Tiny fit and terrible print!,1,1
1,Got it for my brother who normally wears a large.,1,1
1,Got him the XXL which is extremely small on him.,1,1
1,The print looks terrible also.,1,1
1,Very blurry and distorted.,1,1
1,I contacted the seller to see if I could return it or exchange and was suppose to hear back with in 48 hours and that was about 10 days ago.,1,1
1,"Bottom line, don't waste your money.",1,1
2,got to wear it once then the elephant (which is the reason I bought it to begin with) broke!,2,1
3,The sleeves were 3/4 not long sleeves like the picture.,3,1
3,"The shirt had loose threads all over, poor quality.",3,1
3,I would never order again off here.,3,1
3,The shirt is worth 5 dollars if that..not 14.99,3,1
4,Looks even better than the picture.,4,1
4,This is my favorite purse because it matches everything I wear.,4,1
4,It holds everything I need.,4,1
4,It is a very elegant looking multi colored purse.,4,1
4,I absolutely love it.,4,1
4,"However, after giving it a 5 star, I am changing it to a 1 star.",4,1
4,The leather is peeling off and the purse is falling apart.,4,1
4,I am so disappointed.,4,1
4,It wasn't well made at all.,4,1
5,These gloves are NOT lined in cashmere.,5,1
5,"The lining is some kind of cheap synthetic plush stuff, but it is NOT cashmere.",5,1
5,I've owned cashmere lined gloves for years and I know what cashmere is and what it looks like and how warm it is in very cold temps.,5,1
5,These gloves didn't even keep my hands warm at temps in the 20's.,5,1
5,I've worn my other gloves in below zero weather and my hands stayed warm.,5,1
5,Not with these.,5,1
5,"The gloves LOOK nice, but if you want cashmere, don't order these.",5,1
5,FALSE ADVERTISING.,5,1
6,"Not only did this ""bra"" take forever to arrive, but it was entirely too small.",6,1
6,Not even a child could wear this item.,6,1
6,"I would not even consider it a bra, honestly.",6,1
6,I would say it most resembles 2 little pads attached to a piece of stringed cloth.,6,1
6,"If you were still inclined to order this, I would recommend going a few sizes up.",6,1
6,"It just does not work in any way, shape, or form.",6,1
6,I would definitely not recommend to anyone.,6,1
6,"I wanted to use this for my vacation trip, but I have no time to return this or eve order a new one for myself.",6,1
6,Save yourself the trouble.,6,1
7,Not good at all broke in one week,7,1
8,NOT A GOOD BUY.,8,1
8,"The straps were sewn backwards so when I wore it, it flipped the the back of the dress inside out.",8,1
8,"Also, the bottom of the dress was ripped.",8,1
8,Went straight to the garbage.,8,1
8,Thanks!,8,1
9,Not like the picture at allCheap made.,9,1
9,You pay what you get.,9,1
10,I tried to return for a smaller size but was told to take a closer look at the sizing chart.,10,1
10,"By all accounts, I am a large.",10,1
10,Not really sure why it fit so much bigger on me according to the sizing chart says it should or compared to everything else in my wardrobe that is a large.,10,1
10,Very disappointed I was not able to exchange for a small size.....especially before my vacation.,10,1
11,I ordered a size 9 and got a size 6.,11,1
11,I don't know anyone who wears that size.,11,1
11,So I am stuck with them,11,1
12,Item that was received was not at all as pictured.,12,1
12,Very disappointing.,12,1
12,Defiantly not as seen in Doctor Who.,12,1
13,"I ordered an XL because I wanted it to fit a little loose, can't even get it over my shoulders.",13,1
13,I'm not a big person I wear between a 12 and 14 this fits my friend who is a size 4!!,13,1
13,!,13,1
14,"No good quality at all, i had ordered this for my daughter thinking it woudent tarnished, well not even 2 weeks after receiving it it already changed colors, worst is she gave out the 5 others to here friends, i feel so ashamed .... :/",14,1
15,Poorly made  cut small picture doesn't remotly look like the product.,15,1
15,Very disappointed  can you give a negative number of stars?,15,1
16,Received the package today but NO watch was found inside the box.,16,1
16,"The box shown with a ""Rolex"" picture not the smart watch.",16,1
16,Very disappointed!,16,1
17,Very poor quality.,17,1
17,VERY SMALL!,17,1
17,Poor return policy.,17,1
17,I STRONGLY DO NOT RECOMMEND!!!!,17,1
17,I would not do business with this company again.,17,1
18,Worst size labeled shirt ive ever bought off line.,18,1
18,Ordered a XL and i put it next to my wifes small shirt and there was barely a difference.,18,1
18,If you wear a XL buy a XXXL.,18,1
19,I ordered a size medium and it won't even fit my 13 year old grand daughter it is so small.,19,1
19,Instead of being a size 6/8 it is more like a size 0/1,19,1
20,Received purse and outside pocket missing piece to be able to zip closed purse also has horrible smell not a new purse smell,20,1
21,Too small,21,1
22,Obvious fake!,22,1
23,size is too small,23,1
24,the hat came off white and its ribbed looking material.,24,1
24,Total scam and its not even worth trying to ship back to China for a return.,24,1
24,Terrible,24,1
25,It looks nothing like the picture.,25,1
26,They are poor quality and skew the world.,26,1
26,Who needs that headache.,26,1
27,The loops you tuck the band in to snapped within 1 week.,27,1
28,After reading the reviews I was expecting much more firm support in the midsection.,28,1
28,The material is soft and stretchy.,28,1
28,Not like other wraps on market such as The Belly Bandit.,28,1
28,It didn't help eliminate post surgery pain like the Bandit either..,28,1
28,If you're looking to tighten your core areas postpartum; you'll need something tougher.,28,1
28,This product I wore under my wrap for additional support.,28,1
28,It's comfy and soft.,28,1
28,Could be great at bedtime.,28,1
29,The chain broke off from me just taking the tape off of the necklace itself.... seriously ?,29,1
30,Very disappointed in this dress as it was either sewn incorrectly in the back or just not made right.,30,1
30,I ended up not wearing it at all.,30,1
30,I was not happy as this is the only dress that I have ever purchased from Amazon that I did not like.,30,1
31,Too large,31,1
32,"The shirt did not meet my expectations because it was dirty, wrinkled and had a red pen mark across the front.",32,1
33,"Ordered according to size chart listed in description of XL for 32"" bust, but this is more like 42"".",33,1
33,"Also, the fabric in front is only connected at center of bust, which I didn't notice in the pics displayed.",33,1
34,These are much cheaper looking and feeling than the picture.,34,1
34,"The star isn't as pointed and it isn't a jewel, it looks like some really cheap green paint.",34,1
35,Cheap looking,35,1
36,Watch hands broke after the first day.,36,1
37,Waste of money.,37,1
38,"Do not waste your money unless you want a long sleeve (not 3/4 as shown), tight (even though I ordered a size up) and wildly inappropriate fabric choice, shirt.",38,1
38,"The sleeves are made from a thin, cheap swimsuit-like fabric.",38,1
39,This skirt is horrendous.,39,1
39,"I read the reviews and thought ""Wow, what a great price for a well rated skirt"" and bought it hoping for the best.",39,1
39,I cannot stress how horrendous this skirt is.,39,1
39,"I do not srw, and I could have sewed a better skirt with my dominant hand behind my back.",39,1
39,"The elastic waistband it about 2"" wide and the fabric that is sewn around it is uneven and sloppy.",39,1
39,"One reviewer said that she had to wear a belt because the waistband was ""odd"".",39,1
39,Bless.,39,1
39,The waistband is terrible and the only answer is to purchase another skirt.,39,1
39,I don't even know if I can salvage this for a family gathering.,39,1
39,"In Addition to the attrocious handiwork, the fabric is very thin.",39,1
39,The width is appropriate fitting.,39,1
39,"I'm ,5'7"" and 135lbs.",39,1
39,"I ordered a medium hoping that the skirt could truly be worn ""high waisted, but if your measurements are similar to mine don't count on it, unless you prefer the skirt to be about 3"" above your ankles.",39,1
40,Do not purchase this item.,40,1
40,The set came and I'm so disappointed on all levels.,40,1
40,The size chart given is way off!,40,1
40,The one I ordered look like it could fit a 3-4 year old.,40,1
40,"However, if you put it on them it's too grown.",40,1
40,"Contact seller, they gave me a credit of $1.25 

This seller must be from China and need to update the size chart so people can order the correct size.",40,1
41,Painted part wore off after the 3rd wash.,41,1
42,"I absolutely HATE this ""dress""!",42,1
42,Not only is it too small (I ordered a size medium and it fits like a size extra small) but I had to have help removing the dress because it it sooo uncomfortably small in the chest area.,42,1
42,There are no zippers or buttons so it's just on when it's on.,42,1
42,There is NO room at the top to move and it literally sucks in your chest.,42,1
42,I am a B cup so it's not like I have huge boobs that would ever cause that.,42,1
42,"I am going to see if it fits my eight year old daughter when I get home and, if it doesn't, then I'll try to return it.",42,1
42,I'm SO disappointed!,42,1
42,I was hoping to get a quality piece but this sizing it ridiculous!,42,1
42,I have ordered pieces that have come in from China so I knew to order a size larger but this is crazy!,42,1
42,I would try it on again just to take a picture but I don't want to chase tearing it or getting stuck.,42,1
