,column_num,sentence,index,overall,cat
0,22000,"The material feels pretty cheap, not very soft.",22000,2,3
1,22000,Colors and pattern are pretty but the material kind of ruins it.,22000,2,2
2,22001,"I guess the ""fits as described"" reviews were particularly small women.",22001,2,1
3,22001,"Seller was also reluctant to refund due to ""shipping"", gave me a partial refund that was essentially a 30% discount.",22001,2,0
4,22001,Still too expensive for a shirt that may never be worn.,22001,2,3
5,22002,I could tell little or no difference when wearing these.,22002,2,-1
6,22002,They definitely did not measure up to the advertising rhetoric for me.,22002,2,2
7,22003,"PENDANT ON A THREAD, BE CAREFUL!",22003,2,-1
8,22004,"The quality of the fabric feels cheap, definitely not worth the price, even though they fit well.",22004,2,3
9,22004,"I can tell that after a few washes, the fabric would lose its stretch and would fade like a similar pair I bought a few months ago.",22004,2,3
10,22005,I cannot say I am pleased but will keep the dress and hope to wear it sometime.,22005,2,3
11,22005,It is not at all suitable for wearing to my son's wedding.,22005,2,-1
12,22006,"I received rose gold, not yellow gold",22006,2,2
13,22007,Not what I was expecting.,22007,2,2
14,22112,Not what I was expecting.,22112,2,-1
23,22007,I was hoping to get a cute Santa headband for my daughter's Christmas party.,22007,2,3
24,22007,I got sequined antlers and devil horns with Christmas pins glued to it.,22007,2,3
25,22007,I'll contact the company for a replacement.,22007,2,3
26,22008,Doesn't fit like other shirts I bought.,22008,2,1
27,22009,The color of the shirt in the illustration is not what I received.,22009,2,2
28,22009,"It is much darker, and yes, has a pronounced woven pattern.",22009,2,2
29,22009,It is not what I consider a traditional chambray cloth shirt.,22009,2,2
30,22009,"I suppose the advertised text sounds more appealing than than the actual ""Docker's Men's Blue One Pocket Woven Shirt.",22009,2,2
31,22009,Look else where if you want a Chambray shirt.,22009,2,2
32,22010,The purse is spacious but the bottom doesn't have any support to it.,22010,2,3
33,22010,I don't use this purse like I thought I would,22010,2,-1
34,22011,Fits like a large.,22011,2,1
35,22012,Faded after first wear.,22012,2,2
36,22013,It's an X-L but it fits like a medium.,22013,2,1
37,22014,"Although this dress is made of a very soft nylon/spandex material, the fit scale they provide is not accurate at all!",22014,2,1
38,22014,I normally where a size 8 or size medium.,22014,2,1
39,22014,I ordered this in a size large as i read a review that said it ran small.,22014,2,1
40,22014,It was sooo small i could not even get it zipped.,22014,2,1
41,22014,This dress is at least 2 if not 3 sizes smaller than the actual USA sizing it claims.,22014,2,1
42,22014,The USA size large is actually comparable  to a small.,22014,2,1
43,22014,My daughter wears a size 2 and the large fits her beautifully (at least it will be used by someone!,22014,2,1
44,22015,The shirt I got was not like the picture advertized.,22015,2,2
45,22015,I aas expecting to get a huge skull printed shirt with bright pink colors.,22015,2,2
46,22015,What I got was a big black shirt with a small skull patterned and it was even wrong color .,22015,2,2
47,22015,What I got was purple.,22015,2,2
48,22016,Bought this thinking it would be breastfeeding 'friendly' since it has buttons up the front.,22016,2,3
49,22016,"They're fake-as in, the shirt doesn't open with buttons-it's sewn shut.",22016,2,3
50,22016,"Also, as others have mentioned, it's really tight.",22016,2,1
51,22016,"I think if you're a person with curvy hips, don't bother with this one, it's too tight in this area.",22016,2,1
52,22017,Two big-- too unyielding.,22017,2,1
53,22017,Absolutely no structure at all.,22017,2,3
54,22017,I couldn't even figure out how to get it back into the pouch --it went back,22017,2,-1
55,22018,Nice shoe but one would not light up.,22018,2,3
56,22018,"As they were a gift, we did not know until it was past the 30 days to return and now the product is no longer available.",22018,2,-1
57,22019,"Looks just like the picture, but the sizes run insanely small.",22019,2,1
58,22019,"I ordered a large when I normally go small, and it's still too small.",22019,2,1
59,22020,It didn't seem to be sewn straight and was very tight.,22020,2,3
60,22021,Cheap foam not worth the money pieces fell off after second use,22021,2,3
62,22022,They look great but run small.,22022,2,1
63,22023,The bottoms does not match the top but i can mix and match it with other bathing suits I have,22023,2,2
64,22024,I had to return this dress because the neckline was uneven.,22024,2,3
65,22024,"One side of the Vneck was longer than the other, which made the dress lay uneven.",22024,2,3
66,22024,I would not suggest this to anyone.,22024,2,3
67,22025,I wear a women's size 7.,22025,2,1
68,22025,I ordered a men's 5 which is equivalent to a women's 7...they fit like an 8.,22025,2,1
69,22025,I like them but they don't fit.,22025,2,1
70,22025,I'll be returning them...although the box doesn't fit in the package they want them returned in.,22025,2,1
71,22026,"It's not too tight, wished it was longer, I'm only 5'4 and it's still too short, not like the picture",22026,2,1
72,22027,This robe is just as pictured.,22027,2,3
73,22027,"It is NOT LACE, it is made with inexpensive tulle with a lace trim.",22027,2,3
74,22027,"It was not comfortable, it was itchy and if your planning on wearing it for longer than a 30 min foreplay I would suggest soaking it in fabric softener.",22027,2,3
75,22028,I unfortunately didn't try this out until after my return period had ended.,22028,2,3
76,22028,I wear a small and fit into jeans 4-6 so I bought a small.,22028,2,1
77,22028,It only fits 2 inches above the knee.,22028,2,1
78,22028,It can't go any higher.,22028,2,1
79,22028,I also figured this would be really effortless to wear but instead it's bulky enough (without stuff inside it) and my thighs do touch enough that I can feel it rubbing my other thigh when I walk.,22028,2,1
80,22028,In any dress that doesn't have a flared skirt you can see it right through the fabric very obviously.,22028,2,3
81,22028,The black lace is pretty but I thought the pockets would all be within the beige fabric behind it.,22028,2,3
82,22028,Instead only one pocket is like that - for the others you can see the contents behind the lace and in front of the beige fabric.,22028,2,3
83,22028,In my experience wearing it for 20 minutes before I left the house it sagged and didn't seem to hold up on any place on my thigh.,22028,2,3
84,22028,And for the price....well I wish I had figured this out in time to send it back.,22028,2,-1
85,22028,I ended up buying a small crossbody for going out - more effective.,22028,2,1
86,22029,The material was is very stiff.,22029,2,3
87,22029,Not good for children.,22029,2,-1
88,22029,Was way to small.,22029,2,1
89,22030,Poor quality shirt cool design,22030,2,3
90,22031,not what I expected,22031,2,-1
97,22032,This jacket does not fit as it looks in the photo.,22032,2,1
98,22032,I spent another $45.- to try and get it to look like I expected.,22032,2,2
99,22032,I could have just spent $100.- and gotten a really nice jacket.,22032,2,2
100,22033,The material is somewhat of a stretchy jean.the dress didn't look nothing like the picture,22033,2,3
101,22034,"However, these are listed as size ""Adult"" and say 14+ on the package.",22034,2,1
102,22034,They don't actually fit an adult.,22034,2,1
103,22034,"They fit my 8 year old ""perfectly"".",22034,2,1
104,22035,I would have easily give 5 stars for this sweater because it looks so cute and exactly what I was looking for to wear with my brown leggings and brown boots.,22035,2,2
105,22035,"However, when I opened the package and tried on, I noticed a hole in the left pocket and the hem along the bottom is coming apart.",22035,2,3
106,22035,I've only worn once because I am scared to wash thinking it will completely fall apart.,22035,2,3
107,22035,"It's too bad the quality was poor since the look, color, and design of this sweater is great!",22035,2,-1
108,22036,The gem fellout within a week otherwise i loved it,22036,2,3
109,22038,"You get what you pay for, but my shorts were sewed together when they sewed the buttons on.",22038,2,3
110,22038,I had to fix my shorts before I could wear them.,22038,2,3
111,22039,"Took over a week to ship, when I finally received it the size was more like a kids size instead of an adult medium",22039,2,0
112,22040,Bottom fit very full and made me look much larger than I am.,22040,2,1
114,22040,"I liked the corset-like top, but isn't sturdy enough to stand up on it's own.",22040,2,1
116,22040,Red velvet had bad creases after a few minutes of wear.,22040,2,3
118,22041,These are not nylon they are thick black socks.,22041,2,3
119,22041,Not like the picture at all.,22041,2,2
121,22041,Still they fit as expected and do the job they are made for,22041,2,1
122,22042,"I will give it to my daughter , it fits little tight on me.",22042,2,1
123,22043,broke before i had a chance to try it on - clasp came off in my hand!,22043,2,3
124,22044,"Hides tummy well, easy to put on.",22044,2,1
125,22044,But I do not like the way my butt looks in it.,22044,2,1
126,22044,"It does lift my butt, but it also makes the shape look weird.",22044,2,1
127,22044,I do have a big bottom so maybe that's it,22044,2,-1
128,22045,"too small, some scratches on the leather",22045,2,-1
129,22046,Size was not what I hoping for.,22046,2,1
130,22047,I love the style of this jacket but the size's run's very small.,22047,2,1
131,22048,NICE BUT TOO SMALL,22048,2,1
132,22049,Very thin and does not drape the way it looks in the picture,22049,2,3
133,22050,Pretty dress however I did not care for the top for the reason being it wasn't cut very neatly.,22050,2,3
134,22051,Brim is good but can't tighten it enough with string in back.,22051,2,3
135,22051,Material for tightening doesn't hold in place.,22051,2,3
136,22051,We are considering returning it.,22051,2,-1
137,22052,"You can't beat the price but if you are buying this for a watch you are going to wear every day, you may want to reconsider.",22052,2,-1
138,22052,"It itches, and after about a week and a half I had a rash underneath the band.",22052,2,3
139,22053,not as i  thought it would fit,22053,2,1
140,22054,Is quite a bit bigger than I expected and short as well.,22054,2,1
141,22055,These are very pretty and very delicate.,22055,2,3
142,22055,After wearing for a only few days they broke.,22055,2,3
143,22055,I did take them out will sleeping and showering.,22055,2,-1
144,22055,Kinda bummed because I really liked them.,22055,2,-1
145,22056,Reviews are right.. way too small and I don't know how I could even wear this all day.,22056,2,1
147,22056,"Material is SO rigid and has no give which I understand why, but I wish there was some elasticity in it.",22056,2,3
149,22056,Will be returning this item,22056,2,-1
151,22057,Did not fit as expected,22057,2,1
152,22058,did not fit right,22058,2,1
154,22059,Definitely not what I expected for the price!!,22059,2,3
155,22059,I would say this is a $4.95 item at the most!,22059,2,-1
156,22059,"I must have paid for the ""free"" shipping on this item and it was poorly packaged just in a plastic mailing bag...",22059,2,0
157,22060,"to large in the boob area, the straps where placed in the wrong position for this to work properly.",22060,2,1
158,22060,and the lace over the boob section is already coming unstitched and i have not even wore it yet.,22060,2,3
159,22060,If these things were corrected it would be a great top.,22060,2,-1
160,22061,"Because the fit was too small (and I ordered a size larger than my normal), the shirt would curl/ride up when I moved in it.",22061,2,1
161,22062,"Runs small, not as cute in person",22062,2,1
162,22063,Fits exactly as I would expect any normal shirt to fit.,22063,2,1
163,22063,"Material is very synthetic, scratchy, and thin.",22063,2,3
164,22064,"This skirt had so many good reviews, I decided to try it.",22064,2,-1
165,22064,I didn't like it.,22064,2,-1
168,22064,"I bought it to wear in hot weather, but the material is not breathable at all.",22064,2,3
169,22064,The shape is also not as pictured - mine poofed out right under the belt line and went straight down like a brick.,22064,2,1
170,22064,Same diameter at the hips as at the knees looks very square.,22064,2,1
171,22064,"The pattern was pretty, but I returned it.",22064,2,2
172,22064,"Thankfully, no issues with return.",22064,2,3
173,22065,Part of the belt fell off the second time I wore it.,22065,2,3
174,22065,The only reason I'm giving it 2 stars is because it held my pants up.,22065,2,-1
175,22066,hard to move arms without exposing myself,22066,2,1
176,22067,"After reading the size chart and carefully choosing what was meant to be a size twelve to fourteen I ordered this what I received was about half that size, in fact if was tight on my sister who is a size six.",22067,2,1
177,22067,With the annoyance of returning things I chose just to give it to her.,22067,2,-1
178,22068,"I purchased ""this hat"" almost exactly 1 year ago.",22068,2,-1
179,22068,That was a 5 star purchase...,22068,2,-1
