,column_num,sentence,index,overall,cat
0,44000,Normalement o/s me fait mais l le matriel ne s'tire pas beaucoup.,44000,3,-1
1,44000,J'ai des cuisses normale (je porte mdium) mais fait pour plus petite je crois.,44000,3,-1
2,44000,De bonne qualit et couleur rose vif.,44000,3,-1
3,44001,"Love this tank, but it is way way too small.",44001,3,1
4,44001,I usually wear a medium.,44001,3,1
5,44001,I'm thinking of returning and buying a large.,44001,3,1
6,44002,The long strap broke the day I took the purse out of the package.,44002,3,3
7,44002,Unfortunate because bag is great,44002,3,-1
8,44003,"I got a medium and I usually am a small or medium and the medium was still to tight, but it was really cute.",44003,3,1
9,44004,"Pros: The shipping was faster than expected, and it is comfortable.",44004,3,0
10,44004,Cons: I'm a 34 C and when you put it on the areas covering stretches and it looks like you have two little diamond coverings under a lace bralette.,44004,3,1
11,44004,But with a white bandeau top I think it's an easy fix.,44004,3,-1
12,44005,I ordered the colorful flower.,44005,3,2
13,44005,"The pic is of orange, yellow, green, teal and white background.",44005,3,2
14,44005,"The one I got is red, blue and pinkish background.",44005,3,2
15,44006,"The fit is nice, but the fabric is too thin.",44006,3,-1
16,44006,It will probably not last very long.,44006,3,3
17,44006,But for the price....,44006,3,-1
18,44007,Was too small for my daughter,44007,3,1
19,44008,I'm 5'4 145 pounds and I normally order a medium.,44008,3,1
20,44008,I had the hardest time pulling the bottoms up but other than really cute,44008,3,-1
21,44009,Strings attached to each pair of mitts pulled off during first use.,44009,3,3
22,44010,"Well I was pretty satisfied with the purchase; the material looks nice, and feels nice on the skin, so no trouble there... the only issue I have with it... is there is not one tiny strip of elastic on the outfit.",44010,3,-1
23,44010,It has NO stretch to it.,44010,3,3
24,44010,"So be warned if you're a 'meatier' person, or even a guy like me.",44010,3,1
25,44010,I hope you're pretty small!,44010,3,1
26,44011,Quality is not too bad.,44011,3,3
27,44011,Had to cut loose threads.,44011,3,3
28,44011,It is not a one size fit all.,44011,3,1
29,44011,If you wear a small then you are good.,44011,3,1
30,44011,"Any larger size needed, recommend buying a sized type lace thong.",44011,3,1
31,44012,smaller than appears on site.,44012,3,1
32,44012,But worked for the 1 day the boys had to wear them,44012,3,-1
33,44013,"This bracelet is actually really pretty, but I have to give it three stars because it broke only after a few hours of wear...I couldn't fix it, so I don't know what to do with the bracelet...",44013,3,3
34,44014,They look SUPER cute on but they're very flimsy and delicate.,44014,3,-1
35,44014,"They scratch incredibly easy and they slip off your face because they're a little loose/big but aesthetically, they're gorgeous.",44014,3,3
36,44015,"I bought it for the ""stretch"", but it's too loose and stretches too much.",44015,3,3
37,44016,Over a couple washes the pictures started fading so I wasn't too happy with that but it was good while it lasted.,44016,3,3
38,44016,It was a gift for my boyfriend so he didn't really know how to wash it either.,44016,3,-1
39,44016,A tip for that would be wash inside out!,44016,3,-1
40,44017,Light weight pajama material.,44017,3,3
