column_num,sentence,index,overall
66000,Just wish she'd won.,66000,4
66002,I like them but I ordered the wrong size and I found the proper size somewhere else.,66002,4
66002,So I had to return them,66002,4
66003,"Beautiful coat, just to small, the sizing details says to order one size up I ordered 2 sizes up to be safe, and it was still small.",66003,4
66003,even with the size chart is off.,66003,4
66003,I wish they had it one size larger.,66003,4
66004,"I'm 5'2"", 108 lbs,  athletic build and this small sweater was a little loose on me, need an xs but they do not sell xs.",66004,4
66004,"Would be more flattering if it had a tighter fit, but still looks beautiful on the back so I am keeping it.",66004,4
66005,"Color is beautiful,small through the bust.",66005,4
66006,"Didn't quite get it in time for Christmas, but the pants are really cute and really soft.",66006,4
66006,Fit my daughter perfectly.,66006,4
66006,Size is as expected and the quality was exceptional.,66006,4
66006,Would definitely order more like this from this seller.,66006,4
66007,Love it but should have ordered a small rather than medium.,66007,4
66007,If you are slim and tall it will still look great with heels :) I am 5'8 and 145 lb,66007,4
66008,They are your standard Vans Slip on shoes.,66008,4
66008,"They run in the same sizes as my Converse, so they fit well.",66008,4
66008,"I tried a pair on in the stores thinking I would wear a 7.5 as that is what I would wear in my tennis shoes, but that was a bit too big and a 6.5 was just too small.",66008,4
66008,The 7 that I got fit perfectly.,66008,4
66008,My left shoe has something like a flaw where the ball of my foot touches when I step down.,66008,4
66008,"It's not like that in the right, so I am assuming it's just a small flaw, but it's not a big deal.",66008,4
66008,I am sure over time I won't eel this anymore.,66008,4
66008,"Like Converse, I cannot wear shoes like this for too long.",66008,4
66008,"If I were going to walk for a long time I would not wear these shoes, but I have trouble wearing shoes with little support.",66008,4
66008,I do like them though!,66008,4
66008,"(Don't mind the cat hair in my photos, I can't bring anything home without cat hair clinging to it instantly as I bring it in!)",66008,4
66009,I ordered this for myself.,66009,4
66009,Wanted something sparkly to wear.,66009,4
66009,It is a very pretty ring.,66009,4
66009,"I ordered a size 5, which is the smallest that it came in.",66009,4
66009,I did have to take it to be re sized as it was still too big.,66009,4
66009,It actually measured in at a 5.5.,66009,4
66009,"I will say even after having it resized it is still a bit  big
on my finger.",66009,4
66009,The band is slim and the stone large which causes it to flop from side to side.,66009,4
66009,I will have to have a ring sizer placed on the bottom of the band if I want it to sit upright without moving.,66009,4
66009,"So, in the end although the price for the ring is good with all the added money that I have spent
to get it to look the way I want it is a bit more than what I had intended to pay for a costume piece.",66009,4
66009,"That being said I am very petite so maybe the ring
does better on someone with a more average sized hand/finger, I still like the ring and really have no regrets with the purchase.",66009,4
66010,"It's good but, the edges keep unsticking to my skin.",66010,4
66010,I prefer the gel kind better.,66010,4
66011,"Fit great, it's a good comfortable cotton tshirt.",66011,4
66012,Nice socks to wear.,66012,4
66012,Great for important business meeting and to bring some spicy flavor to the office.,66012,4
66012,However 2/6 of them are super difficult to fit over the heel.,66012,4
66014,"I am giving it a 4 because it did run a little small, but I was still able to squeeze into it ;).",66014,4
66014,I got sooo many compliments on this dress!,66014,4
66014,"It is pretty short, so if you are taller you may want to take that into consideration, or you may be wearing it as a shirt.",66014,4
66014,"I am 5'4"" and I think if I was any taller I may have not been able to wear this.",66014,4
66014,"But for all you short girls out their, buy this dress!",66014,4
66014,"You will make every other girl jealous, haha.",66014,4
66014,It's a thumbs up from me.,66014,4
66015,This is very cute.,66015,4
66015,I gave it as a gift.,66015,4
66015,"The only complaints I have are the picture is blurry,you cannot actually see facial details on Jack or Sally.",66015,4
66015,It is more like a silhouette picture & the charm hangs a bit behind the moon when worn.,66015,4
66015,Otherwise she loved it.,66015,4
66016,"Bought this mask for a Masquerade Ball, it is super cure and good quality!",66016,4
66016,A couple of the whiskers kind of cover the eye but they are small so its not a huge issue.,66016,4
66016,Overall a super cute mask and good quality for the price.,66016,4
66017,I like this a lot!,66017,4
66017,The bottom part and the straps look great-but the top was wayyy too small.,66017,4
66017,I usually wear a 6-8 so I got a medium I ended up switching out the top part (it slides out) and slid in a bando black top :) But I do like it a lot  !,66017,4
66018,"The top is a little odd, but not too bad.",66018,4
66019,Great fit for my Alice in Wonderland costume.,66019,4
66020,Product was delivered on time and was described with detail.,66020,4
66023,they are not shoes,66023,4
66026,Not tight around the head at all.,66026,4
66027,For this price it is an okay value.,66027,4
66027,The color is as it is seen.,66027,4
66027,It is a little bit on the tough side though.,66027,4
66027,Overall satisfied with the product.,66027,4
66027,My mom wears european size 37 and I bough size 7 for her amd it fit well,66027,4
66028,I love my prayer shawl!,66028,4
66029,This Bodysocks - Inflatable Ride Me Unicorn is super cute.,66029,4
66029,The only reason I didn't give it 5 stars is that the fan to inflate the costume is in kind of a weird place where it keeps getting blocked by my leg.,66029,4
66029,I like the band it back of the hat that helps it stay on.,66029,4
66030,"Bag looks just like in the picture, and appears to be of good enough quality for the price, bought it for my girlfriend, who seems to like it too.",66030,4
66031,Just to short for my taste.,66031,4
66031,I will have to wear it with tights,66031,4
66032,"I'm a 34 DD and I LOVE, LOVE, LOVE these sports bras!",66032,4
66032,"I wear one to work each day because they provide support, yet are SUPER comfortable!",66032,4
66032,"When I workout, I usually run and I have to put on 2 of these bras, but, I guess that's the plague of having huge boobs.",66032,4
66032,I have yet to find a sports bra that gives me the hold and support that I need when running with just one bra.,66032,4
66032,"But, at least with these bras, like I said before, they're so comfortable, EVEN with 2 of them on!",66032,4
66032,"I love the zipper because I hate having to pull a bra over my head, and it makes it easier to take them on and off when I'm wet or sweaty, which is a plus.",66032,4
66033,"Good clarity, low internal reflection.",66033,4
66033,Tint is not nearly as dark as factory lenses though; in open water or on snow you may still feel some minor discomfort from reflected sunlight.,66033,4
66033,"Price is right, though.",66033,4
66034,Nice looking although a little large.,66034,4
66034,would fit perfectly in extra small but I will take it in under the arms,66034,4
66036,I loved the look ......but turned the first time I wore it  ;/,66036,4
66037,It was just right!!!,66037,4
66037,Just right for the occacion.,66037,4
66038,"The next size up would be better, but not so much that I am returning it.",66038,4
66038,"I am 5'7"" and 130 lbs and got the extra small, if that helps anyone.",66038,4
66038,I only went with the extra small because of the other comments.,66038,4
66038,Plan to get other colors as I love this style shirt and is usual the style I reach for.,66038,4
66038,"Have not washed or worn yet, but the color is vivid and appears well put together.",66038,4
66038,Normally I would wear a medium which is the size I purchased next.,66038,4
66038,"It was a bit too big, will go for the small next.",66038,4
66039,"Had to return since skirt was shorter than expected, ran smaller than sizing chart recommends, and the zipper isn't all that great.",66039,4
66039,"Go a size larger than you'd expect, it'll work for a night though.",66039,4
66039,"Customer service was very good, had to return the costume since the zipper opened up on the back and it wasn't even all that tight, ended up pulling out the stitching since the zipper broke and couldn't get the zipper down.",66039,4
66039,Confident in doing business with them in the future since the return wasn't a hassle.,66039,4
66040,It feels right but little loose for me.,66040,4
66041,I wear size 12 us.,66041,4
66041,"I  bought size 5x  to make sure it fit .It had a very lould chemical smell , wash and rinse in vinger
and that did the trick.",66041,4
66042,"I like this shirt, but it is a little bit big on me.",66042,4
66042,I'm 105lbs and normals wear a small.,66042,4
66043,My wife purchased this women's v-neck to wear to work in as a teacher.,66043,4
66043,She ordered this in a large and it fits her the way other large shirts do with the exception that this one is intended to have a baggy feel to it.,66043,4
66043,She likes that it is very loose and comfortable to wear but nice enough to wear to work and still be dresses appropriately.,66043,4
66043,Teachers need to be comfortable and professional at the same time.,66043,4
66043,She likes the material because it is very soft and not to thin.,66043,4
66043,The seams are sewn well and should hold up over time and use.,66043,4
66043,The colors are fun and give off a nice pleasant vibe.,66043,4
66043,"When it arrived there were no strange smells, stains, or issues with the shirt.",66043,4
66043,I did not receive a discount for an honest review of this shirt or any other types of compensation.,66043,4
66043,I simply try to review all purchases to help others decide if this will work for them or if they are getting a quality product.,66043,4
66044,"I got the necklace, and by itself it's pretty good quality, but when I wear it at school and I lean down to do work or something and I sit back up it often gets caught in the desk, and breaking the chain, off the chain, etc.",66044,4
66045,"Vans are always comfy, if you haven't tried the brand give it a go.",66045,4
66045,It's always my top brand of all day comfort kicks.,66045,4
66047,love the dress ... only wish there was a slit up the side!,66047,4
66048,the pocket is an awkward size but it fit me well,66048,4
66049,Very simple and cute.,66049,4
66049,At first I wasn't sure about the sizing but was pleasantly surprised to find this bathing suit was made for women who weigh more than 95 pounds.,66049,4
66050,Very comfy fits great!,66050,4
66051,"fits well, a little delicate but fun to wear.",66051,4
66053,Light weight and comfortable.,66053,4
66055,Great products for the price.,66055,4
66057,"Haven't tried it as of yet, but the construction, material weight, and appearance are all quite nice.",66057,4
66057,"As Grillardin in a commercial kitchen, I'm hoping the extra length provides better spatter protection than the ""shorties"" we're given to use.",66057,4
66058,"Like the slim design will use one for receipts and gift cards and another as my wallet, can carry both in my purse withou unnecessary bulk.",66058,4
66059,"Love this dress, sooooo comfortable and cute!!",66059,4
66059,Only 4 stars because it runs large.,66059,4
66059,Definitely would order a size down.,66059,4
